payroll_id,employee_id,pay_period,gross_pay,federal_tax,state_tax,insurance,retirement_401k,net_pay
PAY001,EMP001,2024-01,15416.67,3083.33,770.83,450.00,924.99,10187.52
PAY002,EMP002,2024-01,12083.33,2416.67,604.17,450.00,725.00,7887.49
PAY003,EMP003,2024-01,9583.33,1916.67,479.17,350.00,574.99,6262.50
PAY004,EMP004,2024-01,14583.33,2916.67,729.17,450.00,875.00,9612.49
PAY005,EMP005,2024-01,10833.33,2166.67,541.67,450.00,650.00,7024.99
PAY006,EMP006,2024-01,7083.33,1416.67,354.17,350.00,425.00,4537.49
PAY007,EMP007,2024-01,12916.67,2583.33,645.83,450.00,775.00,8462.51
PAY008,EMP008,2024-01,7916.67,1583.33,395.83,350.00,475.00,5112.51
PAY009,EMP009,2024-01,16666.67,3333.33,833.33,450.00,1000.00,11050.01
PAY010,EMP010,2024-01,8750.00,1750.00,437.50,350.00,525.00,5687.50
PAY011,EMP011,2024-01,11666.67,2333.33,583.33,450.00,700.00,7600.01
PAY012,EMP012,2024-01,6666.67,1333.33,333.33,350.00,400.00,4250.01
PAY013,EMP013,2024-01,14166.67,2833.33,708.33,450.00,850.00,9325.01
PAY014,EMP014,2024-01,9166.67,1833.33,458.33,350.00,550.00,5975.01
PAY015,EMP015,2024-01,6250.00,1250.00,312.50,250.00,375.00,4062.50
PAY016,EMP016,2024-01,8333.33,1666.67,416.67,350.00,500.00,5399.99
PAY017,EMP017,2024-01,6833.33,1366.67,341.67,350.00,410.00,4364.99
PAY018,EMP018,2024-01,7500.00,1500.00,375.00,350.00,450.00,4825.00
PAY019,EMP019,2024-01,11250.00,2250.00,562.50,450.00,675.00,7312.50
PAY020,EMP020,2024-01,6500.00,1300.00,325.00,250.00,390.00,4235.00
