customer_id,first_name,last_name,email,phone,address_line1,address_line2,city,state,zip_code,country,registration_date,status,load_date,source_system,batch_id
C001,Ja*es,Mi****ll,j*************@email.com,+1*******01,123 Oak Street,Apt 4B,New York,NY,10001,US,2023-01-15,active,2026-04-30 13:46:25,informatica_etl,AUTO
C002,Sa*ah,Jo***on,s******@email.com,+1*******02,456 Maple Ave,,Los Angeles,CA,90001,US,2023-02-20,active,2026-04-30 13:46:25,informatica_etl,AUTO
C003,Ro**rt,Wi****ms,r********@email.com,+1*******03,789 Pine Road,Suite 100,Chicago,IL,60601,US,2023-03-10,active,2026-04-30 13:46:25,informatica_etl,AUTO
C004,Em*ly,Br*wn,e**********@email.com,+1*******04,321 Elm Street,,Houston,TX,77001,US,2023-04-05,inactive,2026-04-30 13:46:25,informatica_etl,AUTO
C005,Mi***el,Da*is,m*****@email.com,+1*******05,654 Cedar Lane,Unit 7,Phoenix,AZ,85001,US,2023-05-12,active,2026-04-30 13:46:25,informatica_etl,AUTO
C006,Je****er,Ga**ia,j******@email.com,+1*******06,987 Birch Drive,,Philadelphia,PA,19101,US,2023-06-18,active,2026-04-30 13:46:25,informatica_etl,AUTO
C007,Da*id,Ma****ez,d******@email.com,+1*******07,147 Walnut Blvd,Apt 12,San Antonio,TX,78201,US,2023-07-22,active,2026-04-30 13:46:25,informatica_etl,AUTO
C008,****,An****on,l************@email.com,+1*******08,258 Spruce Way,,San Diego,CA,92101,US,2023-08-30,inactive,2026-04-30 13:46:25,informatica_etl,AUTO
C009,Ch*******er,Ta**or,c******@email.com,+1*******09,369 Ash Court,Suite 300,Dallas,TX,75201,US,2023-09-14,active,2026-04-30 13:46:25,informatica_etl,AUTO
C010,Am**da,Th**as,a*******@email.com,+1*******10,741 Poplar Street,,San Jose,CA,95101,US,2023-10-01,active,2026-04-30 13:46:25,informatica_etl,AUTO
C011,Da**el,He*****ez,d*********@email.com,+1*******11,852 Willow Lane,Apt 8A,Austin,TX,73301,US,2023-10-15,active,2026-04-30 13:46:25,informatica_etl,AUTO
C012,Je***ca,Mo*re,j*****@email.com,+1*******12,963 Hickory Ave,,Jacksonville,FL,32099,US,2023-11-02,active,2026-04-30 13:46:25,informatica_etl,AUTO
C013,Ma***ew,Ja***on,m*******@email.com,+1*******13,174 Cypress Road,Unit 3,San Francisco,CA,94101,US,2023-11-20,inactive,2026-04-30 13:46:25,informatica_etl,AUTO
C014,As**ey,Wh*te,a*****@email.com,+1*******14,285 Magnolia Dr,,Columbus,OH,43085,US,2023-12-05,active,2026-04-30 13:46:25,informatica_etl,AUTO
C015,An**ew,Lo*ez,a*****@email.com,+1*******15,396 Dogwood Blvd,Suite 50,Charlotte,NC,28201,US,2024-01-10,active,2026-04-30 13:46:25,informatica_etl,AUTO
C016,St*****ie,***,s***@email.com,+1*******16,507 Redwood Ct,,Seattle,WA,98101,US,2024-01-25,active,2026-04-30 13:46:25,informatica_etl,AUTO
C017,Jo**ua,Cl*rk,j*****@email.com,+1*******17,618 Sequoia Way,Apt 2C,Denver,CO,80201,US,2024-02-14,active,2026-04-30 13:46:25,informatica_etl,AUTO
C018,Ni**le,Le*is,n*****@email.com,+1*******18,729 Sycamore St,,Nashville,TN,37201,US,2024-03-01,inactive,2026-04-30 13:46:25,informatica_etl,AUTO
C019,Ke*in,Ro****on,k********@email.com,+1*******19,840 Chestnut Ave,Unit 11,Portland,OR,97201,US,2024-03-18,active,2026-04-30 13:46:25,informatica_etl,AUTO
C020,Ra**el,Wa**er,r******@email.com,+1*******20,951 Beech Lane,,Detroit,MI,48201,US,2024-04-02,active,2026-04-30 13:46:25,informatica_etl,AUTO
